policy_id,company_id,policy_name,policy_category,target_customer,coverage_description,coverage_limit_tnd,deductible_tnd,base_premium_tnd,min_risk_profile,max_age,min_age,is_active
POL0001,INS01,Auto Tiers Essentiel,Auto,Individual,Responsabilité civile tiers obligatoire pour véhicules particuliers,50000,500,420,Medium,75,18,True
POL0002,INS01,Auto Tous Risques Premium,Auto,Individual,"Couverture tous risques : RC, vol, incendie, dommages matériels",150000,800,1850,Low,70,18,True
POL0003,INS02,Auto Tiers Plus,Auto,Individual,RC tiers + protection vol et incendie,80000,600,750,Medium,72,18,True
POL0004,INS03,Auto Flottes Entreprises,Auto,Corporate,Couverture flottes de véhicules professionnels tous risques,500000,1200,2400,Medium,,18,True
POL0005,INS05,Auto Tiers Économique,Auto,Individual,Responsabilité civile obligatoire formule économique,40000,400,415,High,80,18,True
POL0006,INS06,Auto Confort Pro,Auto,SME,RC + dommages collision + assistance 24h pour professionnels,200000,900,1600,Medium,,18,True
POL0007,INS08,Auto Régionale Tiers,Auto,Individual,Couverture RC tiers pour régions hors grand Tunis,45000,450,430,High,75,18,True
POL0008,INS11,Auto Tiers Étendu,Auto,Individual,RC tiers + bris de glace + assistance routière,70000,550,680,Medium,72,18,True
POL0009,INS13,Auto Tous Risques Compact,Auto,Individual,Tous risques complet formule agressive tarif,120000,700,2200,Low,65,21,True
POL0010,INS15,Auto Pro Responsabilité,Auto,SME,RC professionnelle véhicules utilitaires et commerciaux,300000,1000,1950,Medium,,18,True
POL0011,INS01,Santé Individuelle Base,Health,Individual,Remboursement soins ambulatoires et hospitalisation de base,30000,200,950,Low,,18,True
POL0012,INS04,Santé Collective PME,Health,SME,"Couverture santé collective pour salariés PME : médecin, pharmacie, hospitalisation",100000,300,4800,Low,,18,True
POL0013,INS04,Santé Vie Senior,Health,Individual,Couverture santé adaptée aux seniors 55+ : maladies chroniques incluses,50000,500,3200,Medium,80,55,True
POL0014,INS06,Santé Premium Famille,Health,Individual,"Hospitalisation, spécialistes, dentaire, optique pour famille entière",80000,250,5500,Low,,18,True
POL0015,INS10,Santé Entreprise Gold,Health,Corporate,Plan santé entreprise complet incluant médecine préventive et téléconsultation,200000,400,5900,Low,,18,True
POL0016,INS12,Santé Basique Plus,Health,Individual,"Remboursements soins courants, hospitalisation en chambre commune",25000,300,820,Medium,70,18,True
POL0017,INS14,Santé Maternité & Famille,Health,Individual,"Couverture maternité, pédiatrie et hospitalisation familiale",60000,200,3600,Low,50,18,True
POL0018,INS07,Santé Takaful Conforme,Health,All,Couverture santé conforme aux principes islamiques,40000,350,2100,Medium,70,18,True
POL0019,INS01,Vie Capital Décès,Life,Individual,Capital versé aux bénéficiaires en cas de décès toutes causes,200000,0,1200,Low,65,18,True
POL0020,INS04,Épargne Retraite Prévoyance,Life,Individual,Épargne retraite avec garantie capital majoré à l'échéance,300000,0,2800,Low,60,25,True
POL0021,INS04,Vie Mixte Famille,Life,Individual,Décès + épargne avec option rente éducation pour enfants,150000,0,1900,Low,60,18,True
POL0022,INS10,Retraite Complémentaire Pro,Life,SME,Contrat retraite collectif pour cadres et dirigeants,500000,0,3800,Low,65,30,True
POL0023,INS14,Prévoyance Décès Invalidité,Life,Individual,Couverture décès accidentel + invalidité permanente,100000,0,520,Medium,60,18,True
POL0024,INS12,Vie Temporaire 10 ans,Life,Individual,Protection décès sur une durée déterminée de 10 ans,80000,0,650,Medium,55,18,True
POL0025,INS06,Vie Tous Risques Premium,Life,Individual,Décès toutes causes + invalidité + maladies graves,250000,0,3500,Low,65,18,True
POL0026,INS07,Vie Takaful Famille,Life,Individual,Produit vie conforme Charia : protection décès et épargne participative,120000,0,1400,Low,60,18,True
POL0027,INS01,Multirisque Habitation Standard,Property,Individual,"Incendie, dégât des eaux, vol, RC locataire ou propriétaire",150000,300,450,Low,,,True
POL0028,INS02,Habitation Tous Risques,Property,Individual,Couverture complète habitation : catastrophes naturelles incluses,200000,500,820,Low,,,True
POL0029,INS03,Multirisque Commerce,Property,SME,"Locaux commerciaux : incendie, vol, perte d'exploitation",400000,800,1800,Medium,,,True
POL0030,INS05,Habitation Économique,Property,Individual,Protection incendie et vol formule économique,80000,250,320,Medium,,,True
POL0031,INS06,Multirisque Industrielle,Property,Corporate,"Sites industriels : incendie, explosion, machines, perte d'exploitation",2000000,5000,3400,Medium,,,True
POL0032,INS08,Résidence Secondaire,Property,Individual,Couverture résidence secondaire saisonnière,100000,400,500,Low,,,True
POL0033,INS11,Habitation Locataire,Property,Individual,RC locataire + dégât des eaux + vol pour locataires,60000,200,310,Low,,,True
POL0034,INS12,Multirisque Professionnelle,Property,SME,"Bureaux et équipements professionnels : incendie, vol, dommages matériels",300000,600,1200,Medium,,,True
POL0035,INS15,Entrepôt & Stock Pro,Property,Corporate,"Couverture entrepôts et stocks : incendie, vol, dommages",800000,2000,3200,Medium,,,True
POL0036,INS01,RC Professionnelle Standard,Liability,SME,Responsabilité civile professionnelle pour prestataires et consultants,500000,1000,1100,Medium,,,True
POL0037,INS02,RC Décennale BTP,Liability,SME,Responsabilité décennale obligatoire pour constructeurs et maîtres d'œuvre,1000000,2000,2200,High,,,True
POL0038,INS06,RC Dirigeants & Mandataires,Liability,Corporate,Protection des dirigeants contre les fautes de gestion,2000000,3000,3800,Medium,,,True
POL0039,INS13,RC Logistique & Transport,Liability,SME,RC transporteurs et opérateurs logistiques,500000,1500,1800,High,,,True
POL0040,INS15,RC Médicale Cliniques,Liability,Corporate,Responsabilité civile médicale pour cliniques et cabinets,1000000,2500,3500,Medium,,,True
POL0041,INS03,RC Exploitation PME,Liability,SME,RC exploitation couvrant dommages causés aux tiers dans l'activité courante,300000,800,950,Medium,,,True
POL0042,INS02,Corps Navire Plaisance,Marine,Individual,"Couverture corps de navire de plaisance : naufrage, abordage, vol",200000,1500,1400,Medium,,,True
POL0043,INS09,Transport Maritime Marchandises,Marine,SME,Couverture marchandises transportées par voie maritime,500000,2000,2800,Medium,,,True
POL0044,INS12,Cargo Import-Export,Marine,Corporate,Assurance tous risques marchandises import-export,1000000,3000,3200,Medium,,,True
POL0045,INS13,RC Armateurs,Marine,Corporate,Responsabilité civile armateurs et exploitants maritimes,2000000,5000,3800,High,,,True
POL0046,INS15,Flotte Pêche Côtière,Marine,SME,Couverture embarcations et équipements pêche côtière,300000,1000,1600,High,,,True
POL0047,INS01,Voyage Individuel Schengen,Travel,Individual,Assurance voyage annuelle multi-trips espace Schengen,50000,100,280,Low,,18,True
POL0048,INS06,Voyage Famille Monde Entier,Travel,Individual,"Couverture voyage monde entier : santé, annulation, bagages, RC",100000,150,750,Low,,18,True
POL0049,INS08,Voyage Étudiant Étranger,Travel,Individual,Couverture étudiants en séjour à l'étranger : santé + rapatriement,80000,100,420,Low,35,18,True
POL0050,INS02,Voyage Affaires Fréquent,Travel,SME,Plan voyage annuel illimité pour cadres en déplacement professionnel,150000,200,980,Low,65,21,True
POL0051,INS13,Voyage Maghreb & Afrique,Travel,Individual,Couverture déplacements en Afrique du Nord et sub-saharienne,60000,100,320,Medium,,18,True
